variant	location	freq	date	median_freq_nowcast	median_freq_forecast
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-12		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-13		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-14		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-15		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-16		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-17		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-18		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-19		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-20		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-21		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-22		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-23		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-24		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-25		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-26		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-27		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-28		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-29		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-30		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-10-31		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-01		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-02		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-03		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-04		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-05		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-06		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-07		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-08		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-09		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-10		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-11		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-12		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-13		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-14		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-15		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-16		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-17		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-18		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-19		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-20		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-21		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-22		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-23		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-24		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-25		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-26		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-27		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-28		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-29		0.14285714285714285
Omicron 22D	Trinidad and Tobago	0.14285714285714285	2022-11-30		0.14285714285714285
