variant	location	freq	date	median_freq_nowcast	median_freq_forecast
other	South Africa	0.09090909090909091	2022-01-01	0.09090909090909091	
other	South Africa	0.09090909090909091	2022-01-02	0.09090909090909091	
other	South Africa	0.09090909090909091	2022-01-03	0.09090909090909091	
other	South Africa	0.09090909090909091	2022-01-04	0.09090909090909091	
other	South Africa	0.09090909090909091	2022-01-05	0.09090909090909091	
other	South Africa	0.09090909090909091	2022-01-06	0.09090909090909091	
other	South Africa	0.09090909090909091	2022-01-07	0.09090909090909091	
other	South Africa	0.09090909090909091	2022-01-08	0.09090909090909091	
other	South Africa	0.09090909090909091	2022-01-09	0.09090909090909091	
other	South Africa	0.09090909090909091	2022-01-10	0.09090909090909091	
other	South Africa	0.09090909090909091	2022-01-11	0.09090909090909091	
other	South Africa	0.09090909090909091	2022-01-12	0.09090909090909091	
other	South Africa	0.09090909090909091	2022-01-13	0.09090909090909091	
other	South Africa	0.09090909090909091	2022-01-14	0.09090909090909091	
other	South Africa	0.09090909090909091	2022-01-15	0.09090909090909091	
other	South Africa	0.09090909090909091	2022-01-16		0.09090909090909091
other	South Africa	0.09090909090909091	2022-01-17		0.09090909090909091
other	South Africa	0.09090909090909091	2022-01-18		0.09090909090909091
other	South Africa	0.09090909090909091	2022-01-19		0.09090909090909091
other	South Africa	0.09090909090909091	2022-01-20		0.09090909090909091
other	South Africa	0.09090909090909091	2022-01-21		0.09090909090909091
other	South Africa	0.09090909090909091	2022-01-22		0.09090909090909091
other	South Africa	0.09090909090909091	2022-01-23		0.09090909090909091
other	South Africa	0.09090909090909091	2022-01-24		0.09090909090909091
other	South Africa	0.09090909090909091	2022-01-25		0.09090909090909091
other	South Africa	0.09090909090909091	2022-01-26		0.09090909090909091
other	South Africa	0.09090909090909091	2022-01-27		0.09090909090909091
other	South Africa	0.09090909090909091	2022-01-28		0.09090909090909091
other	South Africa	0.09090909090909091	2022-01-29		0.09090909090909091
other	South Africa	0.09090909090909091	2022-01-30		0.09090909090909091
other	South Africa	0.09090909090909091	2022-01-31		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-01		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-02		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-03		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-04		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-05		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-06		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-07		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-08		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-09		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-10		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-11		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-12		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-13		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-14		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-15		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-16		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-17		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-18		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-19		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-20		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-21		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-22		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-23		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-24		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-25		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-26		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-27		0.09090909090909091
other	South Africa	0.09090909090909091	2022-02-28		0.09090909090909091
other	South Africa	0.09090909090909091	2022-03-01		0.09090909090909091
other	South Africa	0.09090909090909091	2022-03-02		0.09090909090909091
other	South Africa	0.09090909090909091	2022-03-03		0.09090909090909091
other	South Africa	0.09090909090909091	2022-03-04		0.09090909090909091
other	South Africa	0.09090909090909091	2022-03-05		0.09090909090909091
other	South Africa	0.09090909090909091	2022-03-06		0.09090909090909091
other	South Africa	0.09090909090909091	2022-03-07		0.09090909090909091
other	South Africa	0.09090909090909091	2022-03-08		0.09090909090909091
other	South Africa	0.09090909090909091	2022-03-09		0.09090909090909091
other	South Africa	0.09090909090909091	2022-03-10		0.09090909090909091
other	South Africa	0.09090909090909091	2022-03-11		0.09090909090909091
other	South Africa	0.09090909090909091	2022-03-12		0.09090909090909091
other	South Africa	0.09090909090909091	2022-03-13		0.09090909090909091
other	South Africa	0.09090909090909091	2022-03-14		0.09090909090909091
other	South Africa	0.09090909090909091	2022-03-15		0.09090909090909091
other	South Africa	0.09090909090909091	2022-03-16		0.09090909090909091
